Company Name,Company overview,Company industry,Our key skills,combined_text,preprocessed_text
1BITLAB Technology,"1BITLAB Technology
Công ty cổ phần công nghệ 1bitlab với lĩnh vực hoạt động: CNTT chuyên về mảng Blockchain, AI. Công ty làm việc với khách hàng Nhật Bản. Đội ngũ nhân sự trẻ, nhiệt huyết, thức thời tiếp cận nhanh sự phát triển của thị trường và biến đổi liên tục.  
Về môi trường làm việc: Làm việc trực tiếp với đội ngũ quản lý, được cung cấp những kiến thức chuyên ngành là cơ hội để bạn nâng tầm bản thân. Bên cạnh đó, việc hợp tác với nhiều đối tác lớn trên thế giới sẽ mang đến cho bạn định hướng phát triển sự nghiệp bền vững, chuyên nghiệp.",Software Development Outsourcing,,"1BITLAB Technology
Công ty cổ phần công nghệ 1bitlab với lĩnh vực hoạt động: CNTT chuyên về mảng Blockchain, AI. Công ty làm việc với khách hàng Nhật Bản. Đội ngũ nhân sự trẻ, nhiệt huyết, thức thời tiếp cận nhanh sự phát triển của thị trường và biến đổi liên tục.  
Về môi trường làm việc: Làm việc trực tiếp với đội ngũ quản lý, được cung cấp những kiến thức chuyên ngành là cơ hội để bạn nâng tầm bản thân. Bên cạnh đó, việc hợp tác với nhiều đối tác lớn trên thế giới sẽ mang đến cho bạn định hướng phát triển sự nghiệp bền vững, chuyên nghiệp. Software Development Outsourcing ",bitlab technology cng ty c phn cng ngh bitlab vi lnh vc hot ng cntt chuyn v mng blockchain ai cng ty lm vic vi khch hng nht bn i ng nhn s tr nhit huyt thc thi tip cn nhanh s pht trin ca th trng v bin i lin tc v mi trng lm vic lm vic trc tip vi i ng qun l c cung cp nhng kin thc chuyn ngnh l c hi bn nng tm bn thn bn cnh vic hp tc vi nhiu i tc ln trn th gii s mang n cho bn nh hng pht trin s nghip bn vng chuyn nghip software development outsourcing
1test,"1test
Is an innovative educational technology company committed to transforming the learning experience through advanced artificial intelligence (AI) and machine learning (ML) technologies. Our groundbreaking platform revolutionizes education by offering a new way to conduct tests, assignments, and practice sessions. We provide comprehensive reports and gamified learning experiences that enhance engagement and optimize performance. Our mission is to empower academies, educators, and learners with cutting-edge solutions that elevate education to new heights.",IT Services and IT Consulting,,"1test
Is an innovative educational technology company committed to transforming the learning experience through advanced artificial intelligence (AI) and machine learning (ML) technologies. Our groundbreaking platform revolutionizes education by offering a new way to conduct tests, assignments, and practice sessions. We provide comprehensive reports and gamified learning experiences that enhance engagement and optimize performance. Our mission is to empower academies, educators, and learners with cutting-edge solutions that elevate education to new heights. IT Services and IT Consulting ",test is an innovative educational technology company committed to transforming the learning experience through advanced artificial intelligence ai and machine learning ml technologies our groundbreaking platform revolutionizes education by offering a new way to conduct tests assignments and practice sessions we provide comprehensive reports and gamified learning experiences that enhance engagement and optimize performance our mission is to empower academies educators and learners with cuttingedge solutions that elevate education to new heights it services and it consulting
52 Entertainment,"A start-up of French and Vietnamese guys with passion on games development
Who we are? 
● A kind of start-up 
● French and Vietnamese guys, live in French and Vietnam 
● Have business team in France and development team in Vietnam

What we do?
● Create games, especially 2D multiplayer games 
● Have famous games in France. Please check following links:
○ Web https://exoty.com/
○ iOS https://itunes.apple.com/us/developer/game-publishing/id920761535
○ Android https://play.google.com/store/apps/dev?id=5961295858920322921
○ Facebook https://www.facebook.com/search/apps/?q=exoty",Game,"Our Key Skills
Java
Games
QA QC
C#
Unity
Tester","A start-up of French and Vietnamese guys with passion on games development
Who we are? 
● A kind of start-up 
● French and Vietnamese guys, live in French and Vietnam 
● Have business team in France and development team in Vietnam

What we do?
● Create games, especially 2D multiplayer games 
● Have famous games in France. Please check following links:
○ Web https://exoty.com/
○ iOS https://itunes.apple.com/us/developer/game-publishing/id920761535
○ Android https://play.google.com/store/apps/dev?id=5961295858920322921
○ Facebook https://www.facebook.com/search/apps/?q=exoty Game Our Key Skills
Java
Games
QA QC
C#
Unity
Tester",a startup of french and vietnamese guys with passion on games development who we are a kind of startup french and vietnamese guys live in french and vietnam have business team in france and development team in vietnam what we do create games especially d multiplayer games have famous games in france please check following links web httpsexotycom ios httpsitunesapplecomusdevelopergamepublishingid android httpsplaygooglecomstoreappsdevid facebook httpswwwfacebookcomsearchappsqexoty game our key skills java games qa qc c unity tester
8Seneca,"Pure play IT team extensions B2b exclusive outsourcing of highly qualified IT professionals
What is PURE PLAY company?
Company solely focused on b2b service without having own developed products for b2c market
Most famous examples of Pure Play companies are TSMC and Global Foundries which provide only production service to other companies while ensuring that their IP rights and design are kept safe.
Why to choose PURE PLAY company 8SENECA for your IT team extensions?
Flexibility of the team’s size
High level of expertise while having full control over the product and intellectual property
Ability of tailored approach
Agile integration with your internal team",IT Services and IT Consulting,,"Pure play IT team extensions B2b exclusive outsourcing of highly qualified IT professionals
What is PURE PLAY company?
Company solely focused on b2b service without having own developed products for b2c market
Most famous examples of Pure Play companies are TSMC and Global Foundries which provide only production service to other companies while ensuring that their IP rights and design are kept safe.
Why to choose PURE PLAY company 8SENECA for your IT team extensions?
Flexibility of the team’s size
High level of expertise while having full control over the product and intellectual property
Ability of tailored approach
Agile integration with your internal team IT Services and IT Consulting ",pure play it team extensions bb exclusive outsourcing of highly qualified it professionals what is pure play company company solely focused on bb service without having own developed products for bc market most famous examples of pure play companies are tsmc and global foundries which provide only production service to other companies while ensuring that their ip rights and design are kept safe why to choose pure play company seneca for your it team extensions flexibility of the teams size high level of expertise while having full control over the product and intellectual property ability of tailored approach agile integration with your internal team it services and it consulting
Accenture,"A global professional services company with leading capabilities in digital, cloud and security
ACCENTURE (NYSE: ACN) has completed its acquisition of Linkbynet in Juy 2021, 
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. 
Our 710,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners, and communities.
""Across the globe, one thing is universally true of the people of Accenture: We care deeply about what we do and the impact we have with our clients and communities. It is personal to all of us.""
Julie Sweet
Chair & CEO",IT Services and IT Consulting,"Our Key Skills
Cloud
Linux
DevOps
Networking
System Engineer
Database
We are expert in Cloud environment and High Critical IT environment Management. Our job is make our Customer IT platforms go like clockwork.","A global professional services company with leading capabilities in digital, cloud and security
ACCENTURE (NYSE: ACN) has completed its acquisition of Linkbynet in Juy 2021, 
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. 
Our 710,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners, and communities.
""Across the globe, one thing is universally true of the people of Accenture: We care deeply about what we do and the impact we have with our clients and communities. It is personal to all of us.""
Julie Sweet
Chair & CEO IT Services and IT Consulting Our Key Skills
Cloud
Linux
DevOps
Networking
System Engineer
Database
We are expert in Cloud environment and High Critical IT environment Management. Our job is make our Customer IT platforms go like clockwork.",a global professional services company with leading capabilities in digital cloud and security accenture nyse acn has completed its acquisition of linkbynet in juy accenture is a global professional services company with leading capabilities in digital cloud and security combining unmatched experience and specialized skills across more than industries we offer strategy and consulting technology and operations services and accenture songall powered by the worlds largest network of advanced technology and intelligent operations centers our people deliver on the promise of technology and human ingenuity every day serving clients in more than countries we embrace the power of change to create value and shared success for our clients people shareholders partners and communities across the globe one thing is universally true of the people of accenture we care deeply about what we do and the impact we have with our clients and communities it is personal to all of us julie sweet chair ceo it services and it consulting our key skills cloud linux devops networking system engineer database we are expert in cloud environment and high critical it environment management our job is make our customer it platforms go like clockwork
Adnovum Vietnam,"Adnovum
We are the sharp-minded IT experts who tackle the trickiest software and security challenges. With more than 700 employees in our locations in Zurich (HQ), Bern, Lausanne, Budapest, Lisbon, Singapore, and Ho Chi Minh City, we make the digital business of our clients work.
As a great team, we empower each other to share, grow and succeed. The unique Adnovum spirit across locations stands for helping each other at any time, having an open door and contributing to an appreciating and trustful atmosphere. We always enjoy having a laugh, a coffee or a drink together!
Apart from our unique «one Adnovum» spirit, we offer a solution-oriented engineering culture with flat hierarchies, which gives you the opportunity to contribute with your opinions and ideas. We embrace flexible working, like the possibility to work part-time and a hybrid work model. Your continuous education and development are key to us. Therefore, we actively encourage and support individual training opportunities.
 ",IT Services and IT Consulting,"J2EE
Java
Spring
JavaScript
English
.NET","Adnovum
We are the sharp-minded IT experts who tackle the trickiest software and security challenges. With more than 700 employees in our locations in Zurich (HQ), Bern, Lausanne, Budapest, Lisbon, Singapore, and Ho Chi Minh City, we make the digital business of our clients work.
As a great team, we empower each other to share, grow and succeed. The unique Adnovum spirit across locations stands for helping each other at any time, having an open door and contributing to an appreciating and trustful atmosphere. We always enjoy having a laugh, a coffee or a drink together!
Apart from our unique «one Adnovum» spirit, we offer a solution-oriented engineering culture with flat hierarchies, which gives you the opportunity to contribute with your opinions and ideas. We embrace flexible working, like the possibility to work part-time and a hybrid work model. Your continuous education and development are key to us. Therefore, we actively encourage and support individual training opportunities.
  IT Services and IT Consulting J2EE
Java
Spring
JavaScript
English
.NET",adnovum we are the sharpminded it experts who tackle the trickiest software and security challenges with more than employees in our locations in zurich hq bern lausanne budapest lisbon singapore and ho chi minh city we make the digital business of our clients work as a great team we empower each other to share grow and succeed the unique adnovum spirit across locations stands for helping each other at any time having an open door and contributing to an appreciating and trustful atmosphere we always enjoy having a laugh a coffee or a drink together apart from our unique one adnovum spirit we offer a solutionoriented engineering culture with flat hierarchies which gives you the opportunity to contribute with your opinions and ideas we embrace flexible working like the possibility to work parttime and a hybrid work model your continuous education and development are key to us therefore we actively encourage and support individual training opportunities it services and it consulting jee java spring javascript english net
Ahamove,"Ahamove is positioned as Vietnam’s leading intracity commercial delivery provider.
Founded in 2015 in Ho Chi Minh City, Vietnam, Ahamove is an on-demand logistics service based on the concept of a shared economy, providing customers to fill excess capacity for logistics suppliers and reduce costs for consumers. 
You can find more about us at Facebook case study, Harvard case study, and on Asia Nikkei news.
This is a tremendous opportunity to take your career to the next level. Please review the information below and if you are interested, follow the Apply instructions.",E-commerce,"Python
VueJS
NodeJS
Angular","Ahamove is positioned as Vietnam’s leading intracity commercial delivery provider.
Founded in 2015 in Ho Chi Minh City, Vietnam, Ahamove is an on-demand logistics service based on the concept of a shared economy, providing customers to fill excess capacity for logistics suppliers and reduce costs for consumers. 
You can find more about us at Facebook case study, Harvard case study, and on Asia Nikkei news.
This is a tremendous opportunity to take your career to the next level. Please review the information below and if you are interested, follow the Apply instructions. E-commerce Python
VueJS
NodeJS
Angular",ahamove is positioned as vietnams leading intracity commercial delivery provider founded in in ho chi minh city vietnam ahamove is an ondemand logistics service based on the concept of a shared economy providing customers to fill excess capacity for logistics suppliers and reduce costs for consumers you can find more about us at facebook case study harvard case study and on asia nikkei news this is a tremendous opportunity to take your career to the next level please review the information below and if you are interested follow the apply instructions ecommerce python vuejs nodejs angular
AI AVATAR,"Create a world where you can love yourself
At AI AVATAR, we create intelligent AI companions designed to help users feel happier, more confident, and truly understood. Our AI companions offer emotional support, engaging conversations, and personalized interactions, making every user feel valued and empowered.

Recently, we proudly onboarded football legend Ronaldinho as one of our featured AI companions, allowing fans to interact with their idol like never before. Moving forward, we are expanding our community by partnering with more celebrities and key opinion leaders (KOLs) to bring even greater value to people worldwide.

Join us as we redefine human-AI connections and create a future where companionship and confidence are always within reach.",Software Products and Web Services,,"Create a world where you can love yourself
At AI AVATAR, we create intelligent AI companions designed to help users feel happier, more confident, and truly understood. Our AI companions offer emotional support, engaging conversations, and personalized interactions, making every user feel valued and empowered.

Recently, we proudly onboarded football legend Ronaldinho as one of our featured AI companions, allowing fans to interact with their idol like never before. Moving forward, we are expanding our community by partnering with more celebrities and key opinion leaders (KOLs) to bring even greater value to people worldwide.

Join us as we redefine human-AI connections and create a future where companionship and confidence are always within reach. Software Products and Web Services ",create a world where you can love yourself at ai avatar we create intelligent ai companions designed to help users feel happier more confident and truly understood our ai companions offer emotional support engaging conversations and personalized interactions making every user feel valued and empowered recently we proudly onboarded football legend ronaldinho as one of our featured ai companions allowing fans to interact with their idol like never before moving forward we are expanding our community by partnering with more celebrities and key opinion leaders kols to bring even greater value to people worldwide join us as we redefine humanai connections and create a future where companionship and confidence are always within reach software products and web services
AITS | Vietnam Airlines,"Tốc độ - Trách nhiệm - Chủ động - Sáng tạo
TẦM NHÌN
- Công ty dẫn đầu về cung cấp các sản phẩm, dịch vụ công nghệ thông tin, viễn thông, xử lý dữ liệu trong lĩnh vực hàng không, du lịch và lữ hành ở khu vực Campuchia, Lào, Myanmar và Việt Nam.
SỨ MỆNH
- Cung cấp các sản phẩm, dịch vụ công nghệ thông tin, viễn thông, xử lý dữ liệu tốt nhất cho khách hàng nói chung và Tổng Công ty Hàng không Việt Nam – CTCP nói riêng;
- Đồng hành cùng khách hàng, trở thành đối tác tin cậy và phát triển bền vững.
- Cân đối, hài hòa lợi ích chung của Công ty, khách hàng, cổ đông, người lao động và xã hội.
- Tin cậy, An toàn, Chất lượng, Hiệu quả;
- Khách hàng là trung tâm;
- Người Lao Động là tài sản quý giá nhất;
- Công nghệ số và Xử lý dữ liệu là sống còn.
AITS hướng tới việc phát triển nguồn nhân lực chất lượng cao về Công nghệ thông tin. 
Năm 2021 cần tuyển 48 chuyên viên ngành CNTT phục vụ cho các dự án của Công ty và của Vietnamairlines.",IT Services and IT Consulting,"Our Key Skills
Java
ASP.NET
C#","Tốc độ - Trách nhiệm - Chủ động - Sáng tạo
TẦM NHÌN
- Công ty dẫn đầu về cung cấp các sản phẩm, dịch vụ công nghệ thông tin, viễn thông, xử lý dữ liệu trong lĩnh vực hàng không, du lịch và lữ hành ở khu vực Campuchia, Lào, Myanmar và Việt Nam.
SỨ MỆNH
- Cung cấp các sản phẩm, dịch vụ công nghệ thông tin, viễn thông, xử lý dữ liệu tốt nhất cho khách hàng nói chung và Tổng Công ty Hàng không Việt Nam – CTCP nói riêng;
- Đồng hành cùng khách hàng, trở thành đối tác tin cậy và phát triển bền vững.
- Cân đối, hài hòa lợi ích chung của Công ty, khách hàng, cổ đông, người lao động và xã hội.
- Tin cậy, An toàn, Chất lượng, Hiệu quả;
- Khách hàng là trung tâm;
- Người Lao Động là tài sản quý giá nhất;
- Công nghệ số và Xử lý dữ liệu là sống còn.
AITS hướng tới việc phát triển nguồn nhân lực chất lượng cao về Công nghệ thông tin. 
Năm 2021 cần tuyển 48 chuyên viên ngành CNTT phục vụ cho các dự án của Công ty và của Vietnamairlines. IT Services and IT Consulting Our Key Skills
Java
ASP.NET
C#",tc trch nhim ch ng sng to tm nhn cng ty dn u v cung cp cc sn phm dch v cng ngh thng tin vin thng x l d liu trong lnh vc hng khng du lch v l hnh khu vc campuchia lo myanmar v vit nam s mnh cung cp cc sn phm dch v cng ngh thng tin vin thng x l d liu tt nht cho khch hng ni chung v tng cng ty hng khng vit nam ctcp ni ring ng hnh cng khch hng tr thnh i tc tin cy v pht trin bn vng cn i hi ha li ch chung ca cng ty khch hng c ng ngi lao ng v x hi tin cy an ton cht lng hiu qu khch hng l trung tm ngi lao ng l ti sn qu gi nht cng ngh s v x l d liu l sng cn aits hng ti vic pht trin ngun nhn lc cht lng cao v cng ngh thng tin nm cn tuyn chuyn vin ngnh cntt phc v cho cc d n ca cng ty v ca vietnamairlines it services and it consulting our key skills java aspnet c
Aletech Technology Solutions Company,"Not only technology, but also solution!
At Aletech, we're more than just a software development company. We're pioneers in innovation, with a portfolio of cutting-edge products that include an internal smart system powered by Chat GPT, an automated shopping workflow, and a cryptocurrency mobile application.
We firmly believe that the growth of each team member contributes to the success of the organization. That's why we are dedicated to enhancing the skills and experiences of our team and providing an environment that fosters personal and professional growth.
If you're searching for a workplace where your passion meets purpose, Aletech is the place to be. Join us and be a part of a team that thrives on innovation, creativity, and a shared commitment to excellence.
Address
Office 1: Binh Thanh District, Ho Chi Minh City
Office 2: Buon Ma Thuot City, Daklak Province
Office 3: Trung Kinh, Ha Noi ",Software Development Outsourcing,"Java
.NET
Python
JavaScript
NodeJS
Tester","Not only technology, but also solution!
At Aletech, we're more than just a software development company. We're pioneers in innovation, with a portfolio of cutting-edge products that include an internal smart system powered by Chat GPT, an automated shopping workflow, and a cryptocurrency mobile application.
We firmly believe that the growth of each team member contributes to the success of the organization. That's why we are dedicated to enhancing the skills and experiences of our team and providing an environment that fosters personal and professional growth.
If you're searching for a workplace where your passion meets purpose, Aletech is the place to be. Join us and be a part of a team that thrives on innovation, creativity, and a shared commitment to excellence.
Address
Office 1: Binh Thanh District, Ho Chi Minh City
Office 2: Buon Ma Thuot City, Daklak Province
Office 3: Trung Kinh, Ha Noi  Software Development Outsourcing Java
.NET
Python
JavaScript
NodeJS
Tester",not only technology but also solution at aletech were more than just a software development company were pioneers in innovation with a portfolio of cuttingedge products that include an internal smart system powered by chat gpt an automated shopping workflow and a cryptocurrency mobile application we firmly believe that the growth of each team member contributes to the success of the organization thats why we are dedicated to enhancing the skills and experiences of our team and providing an environment that fosters personal and professional growth if youre searching for a workplace where your passion meets purpose aletech is the place to be join us and be a part of a team that thrives on innovation creativity and a shared commitment to excellence address office binh thanh district ho chi minh city office buon ma thuot city daklak province office trung kinh ha noi software development outsourcing java net python javascript nodejs tester
